content,content_stem,score,target
"Good platform. Like that it will ensure product is well received before releasing money to seller, else they will refund buyer.",good platform like ensur product well receiv releas money els refund buyer,5,0
"My first experience, excited and joyful as i get to buy things without travel and looking high and low... Reasonable price and fast delivery. Thank you will recommend more people.",first experi excit joy get buy thing without travel look high low reason price fast deliveri thank recommend peopl,5,0
Good wide variety of goods. Enjoy shopping with Shopee. Keep it up. Hope to have more better offer than Lazada or Q010.,good wide varieti good enjoy shop keep hope better offer lazada q,4,0
"Dishonest facebook marketing brought me here. Spams you with ads of cheap items but its just a dishonest trick. The low price touted refers to an option in the listing to buy some assessory related to the item not the item itself. The only way to know is to download, install, sign up, find listing, click options, input phone number, price finally revealed... cant even delete the account after because of a convenient ""server error"".",dishonest facebook market brought spam ad cheap dishonest trick low price tout refer option list buy assessori relat way know download instal sign find list click option input phone number price final reveal cant even delet account conveni server error,1,1
"Convenient and easy to use, however coupons have extremely strict criterias and often than not is just a flower vase to make shopee seem affordable and generous but not entirely",conveni easi use howev coupon extrem strict criteria often flower vase make seem afford gener entir,3,1
Easy to use. Still waiting for refund for a purchase cancel by seller.,easi use still wait refund purchas cancel,4,0
Genuine savings but to many sales options going at one time making unfriendly to users. Seems the discount deals have decreased lately!!!,genuin save mani sale option go one time make unfriendli user seem discount deal decreas late,3,1
"Bit messy to navigate initially, and very annoying to have small game popups and reminders within the app when you're browsing on home page. But otherwise, haven't had any technical issues.",bit messi navig initi annoy small game popup remind within brows home page otherwis technic issu,5,0
"My purchased product arrived soon, great! However, my free welcome package was not delivered and eventually be cancelled by Shoppe. I asked for compensation but no asnwer at all! Very lousy!",purchas product arriv soon great howev free welcom packag deliv eventu cancel shopp ask compens asnwer lousi,4,0
"Using lousy J&T ""express"". J&T Express failed to pickup parcel the third time hence faking report saying we fail to provide merchant which in fact they never turn up for collection. Very disappointed on the courier services and I cant use my own courier cause its not bulky items or anything fresh. So I have to stuck on the bad reputations courier provided in shopee. The bad courier is making shopee a bad name as well cause of their irresponsible actions. And no one is able to solve this issue.",use lousi j express j express fail pickup parcel third time henc fake report say fail provid merchant fact never turn collect disappoint courier servic cant use courier caus bulki anyth fresh stuck reput courier provid courier make name well caus irrespons action one abl solv issu,2,1
"Do no USE Paynow to topup into their ShopeePay wallet. When you make a valid topup, they have issues and your wallet doesn't reflect the topup amount. They then will tell you they will need 3 working days to check and upon checking take another 5 working days to credit the topup amount. Some users waited for a week and still facing this issue.",use paynow topup shopeepay wallet make valid topup issu wallet reflect topup amount tell need work day check upon check take anoth work day credit topup amount user wait week still face issu,1,1
Taking online shopping to a completely different level. Highly recommend.,take onlin shop complet differ level highli recommend,4,0
"Shopee has been a great app for online puchases, have not been scammed once. Even got refunded for faulty product. The app makes it fun with games that change from time to time with prizes to be won such as monetary vouchers for different category products.",great onlin puchas scam even got refund faulti product make fun game chang time time prize monetari voucher differ categori product,5,0
"Dropped my rating. Shopee App was doing great previously. Recently always having lag issues, even with frequent updates.",drop rate great previous recent alway lag issu even frequent updat,3,1
Sometime Seller never check the item before delivery. Is better to delivery before we pay as we ask for replacement. They will not entertain us.,sometim never check deliveri better deliveri pay ask replac entertain us,4,0
"My experience in Shopee has been nothing but enjoyable. The platform has provided an avenue for affordable shopping for variety of products! I feel there is no need to worry as Shopee team is generally very fast to respond. There was a case when there was a problem with the delivery of my parcel, and Shopee was very quick to provide the refund, hence I feel safe shopping in Shopee! The only improvement I wish to see is to be able to my view my liked products in the Shopee dekstop version.",experi noth enjoy platform provid avenu afford shop varieti product feel need worri team gener fast respond case problem deliveri parcel quick provid refund henc feel safe shop improv wish see abl view like product dekstop version,5,0
Great app with many offers but beware of overseas purchase. Check the review and make sure the price is not too good to be true especially electronic accessories.,great mani offer bewar oversea purchas check review make sure price good true especi electron accessori,4,0
Good search options and able to narrow down with various search filters. Thanks you Shopee.,good search option abl narrow variou search filter thank,5,0
"Since GSS, ive been using shopee frequently compared to other shopping apps mostly due to the good deals and different features to let u gain coins for coin cashback discount. So far so good! (Well, the app do lag at times) Still, Its a good app to use on top of the other common shopping apps in the market as there are wide choices of things to buy. I see that sometimes they have ""lucky draw"" too. If you have superb good luck then you might win something.",sinc gss ive use frequent compar shop app mostli due good deal differ featur let u gain coin coin cashback discount far good well lag time still good use top common shop app market wide choic thing buy see sometim lucki draw superb good luck might win someth,5,0
"Abit upsetting. It asks me to pay seprately for shipping for the free item. Once i did that, i dont qualify for the first purchase voucher under shopee. Really felt tricked.",abit upset ask pay seprat ship free dont qualifi first purchas voucher realli felt trick,2,1
"Good so far. Refunds take awhile if sellers disagree. But with photos & videos, refunds could be processed faster. Most sellers are prompt and provide reasonable customer service.",good far refund take awhil disagre photo video refund could process faster prompt provid reason custom servic,5,0
